CUSTOMER,NUMBER_OF_LATE_PAYMENTS,NUMBER_OF_CREDIT_APPLICATIONS,DECLARED_BANKRUPTCY_IN_PAST_7_YRS,AVERAGE_MONTHLY_FEE,CREDIT_SCORE,SATISFACTION,DEFAULT_DATA,AVERAGE_CASH_BALANCE,AGE,AGE_RANGE,GENDER,NUMBER_OF_PRODUCTS,CUST_ACQUISITION_YEAR,NO_OF_UNIQUE_PRODUCTS,NO_OF_UNIQUE_PRODUCTS_GROUPED,EQUITIES_BALANCE,INITIAL_MORTGAGE_AMT,ADDRESS_CHANGES,HOUSEHOLD,CLIENTS_IN_HOUSEHOLD,AVERAGE_CREDIT_CARD_BALANCE,CUSTOMER_TYPE,HOME_BRANCH_CITY,HOME_BRANCH_STATE,SALESPERSON,CHURN,COUNT,BANKID
UX5097,33,25,No,93,544,4,1,1K,38,30-39,Male,1,2007,4,1 to 10,38000,300K+,4,4097,4,2500,Personal,Charlotte NC,North Carolina,UX21,yes,1,K
UX5098,0,53,No,84,544,4,1,10K,42,40-49,Female,0,2011,0,0,19000,300K+,4,4098,4,3000,Personal,Charlotte NC,North Carolina,UX16,yes,1,K
UX5099,0,0,No,76,431,5,1,10K,59,50-59,Male,1,2010,5,1 to 10,3000,300K+,1,4099,1,4500,Personal,Raleigh/Durham NC,North Carolina,UX15,no,1,K
UX5100,15,19,No,72,431,5,1,1K,38,30-39,Male,0,2005,37,31 to 40,7000,300K+,3,4100,3,9000,Personal,Raleigh/Durham NC,North Carolina,UX16,yes,1,K
UX5101,0,9,No,102,544,4,1,1K,54,50-59,Female,1,2003,10,1 to 10,21000,300K+,1,4101,1,13000,Personal,Charlotte NC,North Carolina,UX21,yes,1,K
UX5102,13,37,No,86,431,4,0,25K,27,20-29,Male,1,2005,20,21 to 30,7000,300K+,0,4102,1,3000,Personal,Raleigh/Durham NC,North Carolina,UX13,yes,1,K
UX5103,0,0,No,73,431,4,1,1K,59,50-59,Male,1,2006,6,1 to 10,3000,300K+,0,4103,1,3500,Personal,Raleigh/Durham NC,North Carolina,UX20,no,1,K
UX5104,0,8,No,72,431,4,1,1K,48,40-49,Male,1,2012,15,11 to 20,21000,300K+,1,4104,1,17000,Personal,Raleigh/Durham NC,North Carolina,UX16,yes,1,K
UX5105,0,0,No,92,544,5,0,25K,28,20-29,Male,1,2004,3,1 to 10,9000,300K+,1,4105,1,7000,Personal,Charlotte NC,North Carolina,UX13,no,1,K
UX5106,0,0,No,98,544,4,1,25K,54,50-59,Female,1,2010,22,21 to 30,7000,300K+,2,4106,2,17500,Personal,Charlotte NC,North Carolina,UX13,no,1,K
