CUSTOMER,NUMBER_OF_LATE_PAYMENTS,NUMBER_OF_CREDIT_APPLICATIONS,DECLARED_BANKRUPTCY_IN_PAST_7_YRS,AVERAGE_MONTHLY_FEE,CREDIT_SCORE,SATISFACTION,DEFAULT,AVERAGE_CASH_BALANCE,AGE,AGE_RANGE,GENDER,NUMBER_OF_PRODUCTS,CUST_ACQUISITION_YEAR,NO_OF_UNIQUE_PRODUCTS,NO_OF_UNIQUE_PRODUCTS_GROUPED,EQUITIES_BALANCE,INITIAL_MORTGAGE_AMT,ADDRESS_CHANGES,HOUSEHOLD_ID,CLIENTS_IN_HOUSEHOLD,AVERAGE_CREDIT_CARD_BALANCE,CUSTOMER_TYPE,HOME_BRANCH_CITY,HOME_BRANCH_STATE,SALESPERSON,CHURN,COUNT,BANKID
ID9446,0,0,No,85,590,3,0,1K,27,20-29,Male,1,2003,43,41 to 50,1000,300K+,1,8446,1,0,Personal,Salt Lake City UT,Utah,ID13,no,1,N
ID9447,0,0,No,81,590,2,1,10K,27,20-29,Male,0,2003,8,1 to 10,4000,Less than 150K,0,8447,1,6000,Personal,Salt Lake City UT,Utah,ID13,no,1,N
ID9448,1,13,No,82,590,2,1,1K,60,60-69,Male,2,2003,48,41 to 50,7000,Less than 150K,0,8448,1,6000,Personal,Salt Lake City UT,Utah,ID13,yes,1,N
ID9449,,,Yes,,590,2,0,1K,75,70-79,Female,1,2010,21,21 to 30,4000,Less than 150K,0,8449,1,5500,Small Business,Salt Lake City UT,Utah,ID13,no,1,N
ID9450,0,0,No,163,1379,3,0,1K,17,0-19,Male,1,2005,29,21 to 30,10000,150K - 300K,2,8450,2,1300,Corporate,Houston TX,Texas,ID7,no,1,N
ID9451,0,14,No,168,1379,2,1,10K,67,60-69,Male,1,2009,35,31 to 40,10000,Less than 150K,0,8451,1,7500,Corporate,Houston TX,Texas,ID19,yes,1,N
ID9452,28,28,No,166,1379,4,1,1K,29,20-29,Male,2,2008,8,1 to 10,15000,300K+,3,8452,3,15000,Personal,Houston TX,Texas,ID14,yes,1,N
ID9453,49,49,No,157,1379,4,1,1K,28,20-29,Male,2,2006,39,31 to 40,6000,300K+,0,8453,1,4500,Personal,Houston TX,Texas,ID14,yes,1,N
ID9454,0,0,No,152,1379,3,1,10K,64,60-69,Female,1,2009,18,11 to 20,9000,300K+,0,8454,1,11000,Personal,Houston TX,Texas,ID7,no,1,N
ID9455,11,0,No,148,1379,4,0,1K,47,40-49,Female,1,2003,15,11 to 20,10000,300K+,0,8455,1,6000,Personal,Houston TX,Texas,ID19,no,1,N
ID9456,93,93,No,163,1379,4,1,10K,40,40-49,Female,1,2006,11,11 to 20,23000,300K+,4,8456,4,11000,Personal,Houston TX,Texas,ID14,yes,1,N
ID9457,69,47,No,149,1379,3,0,1K,33,30-39,Female,1,2005,20,11 to 20,16000,300K+,2,8457,2,6000,Personal,Houston TX,Texas,ID14,yes,1,N
ID9458,0,0,No,158,1379,4,0,1K,47,40-49,Female,2,2011,2,1 to 10,47000,300K+,5,8458,5,4000,Personal,Houston TX,Texas,ID19,no,1,N
ID9459,35,28,No,166,1379,4,1,1K,42,40-49,Male,1,2006,5,1 to 10,4000,300K+,0,8459,1,11500,Personal,Houston TX,Texas,ID7,yes,1,N
ID9460,48,49,No,157,1379,3,1,1K,50,50-59,Female,1,2003,1,1 to 10,16000,300K+,1,8460,1,1500,Personal,Houston TX,Texas,ID19,yes,1,N
ID9461,0,0,No,153,1379,4,1,1K,65,60-69,Female,1,2006,36,31 to 40,4000,150K - 300K,0,8461,1,0,Personal,Houston TX,Texas,ID19,no,1,N
ID9462,6,0,No,164,1379,3,0,1K,35,30-39,Female,1,2012,14,11 to 20,25000,150K - 300K,2,8462,2,5000,Personal,Houston TX,Texas,ID7,no,1,N
ID9463,25,4,No,144,1379,4,1,10K,41,40-49,Male,1,2012,17,11 to 20,22000,150K - 300K,1,8463,1,11500,Personal,Houston TX,Texas,ID19,no,1,N
ID9464,0,0,No,154,1379,3,1,1K,38,30-39,Female,1,2005,13,11 to 20,27000,Less than 150K,7,8464,7,9000,Personal,Houston TX,Texas,ID14,no,1,N
ID9465,71,58,No,151,1379,2,1,1K,30,30-39,Female,1,2009,8,1 to 10,10000,Less than 150K,2,8465,2,4000,Personal,Houston TX,Texas,ID19,yes,1,N
ID9466,0,0,No,164,1379,3,0,1K,71,70-79,Male,2,2010,43,41 to 50,3000,Less than 150K,0,8466,1,4500,Personal,Houston TX,Texas,ID7,no,1,N
ID9467,2,0,No,157,1379,2,1,1K,66,60-69,Female,1,2007,47,41 to 50,1000,Less than 150K,0,8467,1,2500,Personal,Houston TX,Texas,ID19,no,1,N
ID9468,17,1,No,149,1379,4,0,25K,71,70-79,Female,1,2012,27,21 to 30,10000,Less than 150K,0,8468,1,18000,Personal,Houston TX,Texas,ID19,no,1,N
ID9469,6,8,No,159,1379,3,1,25K,80,80+,Male,1,2009,4,1 to 10,2000,Less than 150K,0,8469,1,2000,Personal,Houston TX,Texas,ID14,yes,1,N
ID9470,14,5,No,155,1379,4,0,1K,58,50-59,Female,1,2003,10,1 to 10,1000,300K+,0,8470,1,18000,Small Business,Houston TX,Texas,ID19,no,1,N
ID9471,0,0,No,132,1187,4,1,10K,31,30-39,Female,1,2012,15,11 to 20,9000,300K+,3,8471,3,10000,Corporate,Oklahoma City OK,Oklahoma,ID17,no,1,N
ID9472,0,0,No,142,1187,4,0,1K,50,50-59,Female,1,2006,14,11 to 20,9000,300K+,0,8472,1,15500,Corporate,Oklahoma City OK,Oklahoma,ID17,no,1,N
ID9473,0,2,No,141,1187,3,1,1K,16,0-19,Male,2,2012,37,31 to 40,1000,Less than 150K,4,8473,4,2800,Corporate,Oklahoma City OK,Oklahoma,ID9,no,1,N
ID9474,0,0,No,142,1187,3,0,1K,57,50-59,Female,1,2004,15,11 to 20,6000,Less than 150K,0,8474,1,6000,Corporate,Oklahoma City OK,Oklahoma,ID17,no,1,N
ID9475,1,0,No,131,1187,5,1,5K,62,60-69,Male,1,2003,8,1 to 10,5000,300K+,0,8475,1,0,Personal,Oklahoma City OK,Oklahoma,ID17,no,1,N
ID9476,33,40,No,138,1187,5,1,25K,47,40-49,Male,1,2004,17,11 to 20,14000,300K+,2,8476,2,1500,Personal,Oklahoma City OK,Oklahoma,ID17,yes,1,N
ID9477,0,0,No,132,1187,4,0,25K,55,50-59,Male,1,2011,7,1 to 10,10000,300K+,0,8477,1,11000,Personal,Oklahoma City OK,Oklahoma,ID9,no,1,N
ID9478,0,0,No,136,1187,3,1,1K,17,0-19,Female,2,2006,38,31 to 40,10000,300K+,1,8478,1,2500,Personal,Oklahoma City OK,Oklahoma,ID9,no,1,N
ID9479,25,18,No,133,1187,3,1,1K,73,70-79,Female,1,2005,26,21 to 30,4000,300K+,0,8479,1,9000,Personal,Oklahoma City OK,Oklahoma,ID17,yes,1,N
ID9480,0,0,No,133,1187,3,1,25K,65,60-69,Male,1,2010,17,11 to 20,10000,300K+,0,8480,1,9500,Personal,Oklahoma City OK,Oklahoma,ID17,no,1,N
ID9481,19,22,No,139,1187,4,0,25K,45,40-49,Female,1,2003,12,11 to 20,8000,150K - 300K,2,8481,2,8000,Personal,Oklahoma City OK,Oklahoma,ID9,yes,1,N
ID9482,0,0,No,129,1187,3,0,1K,32,30-39,Female,1,2007,18,11 to 20,15000,Less than 150K,3,8482,3,2000,Personal,Oklahoma City OK,Oklahoma,ID17,no,1,N
ID9483,12,18,No,126,1187,2,0,1K,30,30-39,Female,2,2010,14,11 to 20,29000,Less than 150K,2,8483,2,1500,Personal,Oklahoma City OK,Oklahoma,ID9,yes,1,N
